,geo_code,geo_name,pop,area,density,n_city
0,3,Lombardia,10060574,"23863,65",422,1506
1,12,Lazio,5879082,"17232,29",341,378
2,15,Campania,5801692,"13670,95",424,550
3,19,Sicilia,4999891,"25832,39",194,390
4,5,Veneto,4905854,"18345,35",267,563
5,8,Emilia-Romagna,4459477,"22452,78",199,328
6,1,Piemonte,4356406,"25387,07",172,1181
7,16,Puglia,4029053,"19540,9",206,257
8,9,Toscana,3729641,"22987,04",162,273
9,18,Calabria,1947131,"15221,9",128,404
10,20,Sardegna,1639591,"24100,02",68,377
11,7,Liguria,1550640,"5416,21",286,234
12,11,Marche,1525271,"9401,38",162,228
13,13,Abruzzo,1311580,"10831,84",121,305
14,6,Friuli Venezia Giulia,1215220,"7924,36",153,215
15,4,Trentino-Alto Adige,1072276,"13605,5",79,282
16,10,Umbria,882015,"8464,33",104,92
17,17,Basilicata,562869,"10073,32",56,131
18,14,Molise,305617,"4460,65",69,136
19,2,Valle d'Aosta,125666,"3260,9",39,74
