,date,geo_code,inf_hosp_intensive,inf_hosp_nonintensive,inf_home,inf_recovered,inf_dead,inf_tot_cum
0,2020-02-24T18:00:00,1,0,2,1,0,0,3
1,2020-02-24T18:00:00,2,0,0,0,0,0,0
2,2020-02-24T18:00:00,3,19,76,71,0,6,172
3,2020-02-24T18:00:00,4,0,0,0,0,0,0
4,2020-02-24T18:00:00,5,4,12,16,0,1,33
5,2020-02-24T18:00:00,6,0,0,0,0,0,0
6,2020-02-24T18:00:00,7,0,0,0,0,0,0
7,2020-02-24T18:00:00,8,2,10,6,0,0,18
8,2020-02-24T18:00:00,9,0,0,0,0,0,0
9,2020-02-24T18:00:00,10,0,0,0,0,0,0
10,2020-02-24T18:00:00,11,0,0,0,0,0,0
11,2020-02-24T18:00:00,12,1,1,0,1,0,3
12,2020-02-24T18:00:00,13,0,0,0,0,0,0
13,2020-02-24T18:00:00,14,0,0,0,0,0,0
14,2020-02-24T18:00:00,15,0,0,0,0,0,0
15,2020-02-24T18:00:00,16,0,0,0,0,0,0
16,2020-02-24T18:00:00,17,0,0,0,0,0,0
17,2020-02-24T18:00:00,18,0,0,0,0,0,0
18,2020-02-24T18:00:00,19,0,0,0,0,0,0
19,2020-02-24T18:00:00,20,0,0,0,0,0,0
20,2020-02-25T18:00:00,1,0,2,1,0,0,3
21,2020-02-25T18:00:00,2,0,0,0,0,0,0
22,2020-02-25T18:00:00,3,25,79,127,0,9,240
23,2020-02-25T18:00:00,4,0,1,0,0,0,1
24,2020-02-25T18:00:00,5,7,12,23,0,1,43
25,2020-02-25T18:00:00,6,0,0,0,0,0,0
26,2020-02-25T18:00:00,7,0,1,0,0,0,1
27,2020-02-25T18:00:00,8,2,15,9,0,0,26
28,2020-02-25T18:00:00,9,0,2,0,0,0,2
29,2020-02-25T18:00:00,10,0,0,0,0,0,0
30,2020-02-25T18:00:00,11,0,0,0,0,0,0
31,2020-02-25T18:00:00,12,1,1,0,1,0,3
32,2020-02-25T18:00:00,13,0,0,0,0,0,0
33,2020-02-25T18:00:00,14,0,0,0,0,0,0
34,2020-02-25T18:00:00,15,0,0,0,0,0,0
35,2020-02-25T18:00:00,16,0,0,0,0,0,0
36,2020-02-25T18:00:00,17,0,0,0,0,0,0
37,2020-02-25T18:00:00,18,0,0,0,0,0,0
38,2020-02-25T18:00:00,19,0,1,2,0,0,3
39,2020-02-25T18:00:00,20,0,0,0,0,0,0
40,2020-02-26T18:00:00,1,0,2,1,0,0,3
41,2020-02-26T18:00:00,2,0,0,0,0,0,0
42,2020-02-26T18:00:00,3,25,79,145,0,9,258
