codice_regione;denominazione_regione;pop;superficie;densita;num_comuni;num_prov
3;Lombardia;10060574;23863,65;422;1506;12
12;Lazio;5879082;17232,29;341;378;5
15;Campania;5801692;13670,95;424;550;5
19;Sicilia;4999891;25832,39;194;390;9
5;Veneto;4905854;18345,35;267;563;7
8;Emilia-Romagna;4459477;22452,78;199;328;9
1;Piemonte;4356406;25387,07;172;1181;8
16;Puglia;4029053;19540,9;206;257;6
9;Toscana;3729641;22987,04;162;273;10
18;Calabria;1947131;15221,9;128;404;5
20;Sardegna;1639591;24100,02;68;377;5
7;Liguria;1550640;5416,21;286;234;4
11;Marche;1525271;9401,38;162;228;5
13;Abruzzo;1311580;10831,84;121;305;4
6;Friuli Venezia Giulia;1215220;7924,36;153;215;4
4;Trentino-Alto Adige;1072276;13605,5;79;282;2
10;Umbria;882015;8464,33;104;92;2
17;Basilicata;562869;10073,32;56;131;2
14;Molise;305617;4460,65;69;136;2
2;Valle d'Aosta;125666;3260,9;39;74;1
